AppID;Name;Release date;Estimated owners;Peak CCU;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Metacritic score;Positive;Negative;Achievements;Recommendations;Notes;Average playtime forever;Developers;Tags
1350540;Rebel Reenactment: Battle of the Wilderness;30.08.2020;20000 - 50000;0;0;7.99;0;['English'];;1;0;0;0;10;2;0;0;;0;Cult Software;Historical,War,America,Action,Simulation,Shooter,Local Co-Op,First-Person,Third-Person Shooter,FPS,Gore,Blood,Split Screen,Military,Third Person,Combat,Tactical,Team-Based,Atmospheric,Singleplayer
1512910;Power Ball 2021;18.01.2021;0 - 20000;0;0;6.99;0;['English'];;1;0;0;0;1;1;0;0;;0;Paul Connor;Action,Casual,Arcade,Pinball,2D,Minimalist,1980s,Destruction,Relaxing,Retro,Physics,Tabletop,Co-op,Local Co-Op,Local Multiplayer,Multiplayer,Singleplayer
511110;DodgeBall Blitz;02.09.2016;0 - 20000;0;0;14.99;0;['English'];https://www.PlayC3Games.com;1;0;0;0;0;0;0;0;;0;C3 Games Inc;
1578750;Endless Furry Asteroids;12.04.2021;0 - 20000;0;0;0.99;0;['English'];https://m.youtube.com/ericyoungvfx/;1;0;0;0;1;0;71;0;;0;Tegridy Made Games;Action,Casual,Shooter,Top-Down Shooter,Strategy,Space Sim,Flight,Hero Shooter,Shoot 'Em Up,2D,Anime,Cartoon,Cartoony,Cinematic,Cute,Minimalist,Pixel Graphics,Top-Down,1980s,1990's
1674300;Ablockalypse;16.07.2021;0 - 20000;0;0;6.99;0;['English'];https://www.coloritcompany.com;1;0;1;0;0;0;0;0;;0;Color It Company;
465750;Tank Battle: North Africa;12.07.2016;20000 - 50000;1;0;9.99;0;['English'];https://www.hexwar.com/downloads/tank-battle-north-africa/;1;1;0;0;22;8;18;0;;317;HexWar Games;Strategy,Hex Grid,Turn-Based Strategy,World War II
1053660;Chaos Starter;05.04.2019;20000 - 50000;0;0;0.99;0;['English'];;1;0;0;0;26;18;0;0;;0;Kiddy;Action,Casual,Simulation,Adventure,Indie,Singleplayer,Arcade,Funny,Relaxing,Third Person,Comedy,Fast-Paced,Physics,Atmospheric,Replay Value,Fighting
605490;One Hit KO;05.04.2017;0 - 20000;0;0;6.99;0;['English'];http://threefrogstudios.com/;1;0;0;0;8;2;26;0;;0;Three Frog Studios;Casual,Action,Indie
1253320;Seconds in Space;28.09.2020;0 - 20000;0;0;2.99;0;['English'];https://www.Funneractic.com;1;0;0;0;1;0;0;0;;0;Funneractic;Strategy,Difficult,Rogue-lite,Arcade,Space,Indie,Real Time Tactics,Singleplayer,Action,2D,Top-Down,Sci-fi,Perma Death,Rogue-like,Real-Time,Replay Value,Futuristic,Combat,Fast-Paced,RTS
448960;I, Hope;21.02.2018;0 - 20000;0;0;9.99;0;['English'];http://doubleplusgoodgames.com/portfolio/i-hope/;1;0;0;0;28;7;0;0;;0;Kenny Roy;Action,Indie,Casual,Adventure,Female Protagonist
